"","x"
"163",246516.769773852
"164",192689.492390413
"165",126957.502160407
"166",157190.261622575
"167",179575.54730654
"168",278878.849717016
"169",188687.05932477
"170",394013.826600624
"171",228147.782362854
"172",265654.941269162
"173",178400.599390588
"174",174712.065382433
"175",169614.813151231
"176",153543.805120619
"177",186318.438494769
"178",210800.578758514
"179",178188.086751535
"180",276935.855391024
"181",178581.792742041
"182",240212.068911815
"183",233427.297556786
"184",241078.245174839
"185",196046.915315385
"186",149190.854564651
"187",155467.840349854
"188",123860.332669835
"189",140938.666949085
"190",113452.050966329
"191",120493.133424459
"192",97692.4669136756
"193",103545.981610642
"194",134749.678162363
"195",135870.39097381
"196",133668.314497199
"197",136103.119210715
"198",136022.24159077
"199",126581.40016311
"200",148500.169054388
"201",417020.971544947
"202",411789.697867294
"203",361459.206657224
"204",527346.148274343
"205",308949.243075532
"206",343390.234071769
"207",403734.749452968
"208",327516.628309492
"209",309632.505085686
"210",342911.229596771
"211",267440.064725544
"212",447902.160051544
"213",298132.357368848
"214",249190.910415112
"215",199953.109173242
"216",190213.488857147
"217",228204.981686414
"218",506542.201755954
"219",400776.894378076
"220",319636.24185709
"221",264117.555503263
"222",327741.658478004
"223",191014.051670238
"224",183427.025148714
"225",172266.370939443
"226",171342.011813912
"227",187562.373140442
"228",190333.734265925
"229",196849.648416351
"230",192188.300406707
"231",180371.345982745
"232",259482.828424365
"233",186746.599479743
"234",170440.055618934
"235",173228.73276799
"236",257033.683338428
"237",178992.72136101
"238",336690.696185591
"239",296179.1270217
"240",241072.107298621
"241",275590.3289094
"242",246778.66246997
"243",238197.175990589
"244",267417.867002046
"245",246024.796009516
"246",424793.511988173
"247",223773.169954959
"248",209648.2562565
"249",260496.54690489
"250",223908.298740708
"251",268042.594888888
"252",255048.367018365
"253",260238.204337205
"254",230064.85625576
"255",212668.355166384
"256",187005.452443448
"257",167967.802198068
"258",153016.060320727
"259",211692.436351658
"260",210832.117130919
"261",150570.648132654
"262",128431.814238353
"263",133126.244881697
"264",184852.960991785
"265",218942.489130641
"266",190185.992378792
"267",156638.311479992
"268",155449.518232621
"269",170370.408498829
"270",192666.585171465
"271",122884.875085023
"272",115104.819274018
"273",116621.64995952
"274",122160.836514559
"275",120402.537583689
"276",115183.156006256
"277",338403.300633289
"278",266102.238797014
"279",263261.302810137
"280",195670.988656035
"281",181472.580766654
"282",168529.084902298
"283",182687.415065237
"284",314506.576657017
"285",216096.790651926
"286",239175.647429004
"287",209587.713829722
"288",226223.674224429
"289",135565.229172442
"290",134827.406266478
"291",257032.306856635
"292",120190.19945662
"293",141742.152406606
"294",197078.955475353
"295",162500.051238205
"296",117850.249609058
"297",123937.563298188
"298",127263.715301818
"299",171453.443544853
"300",149348.343092716
"301",141065.750033666
"302",163609.348512119
"303",183797.298797047
"304",115532.33234068
"305",173096.67305595
"306",178333.443207994
"307",226494.197312103
"308",140919.853043321
"309",165739.499945373
"310",156809.282770387
"311",125145.782622079
"312",134990.868059716
"313",120845.971242651
"314",142962.178114974
"315",139699.625041678
"316",135987.280437362
"317",103601.865472456
"318",143306.848017661
"319",131284.823248398
"320",162595.531370602
"321",129174.557058054
"322",85896.2999763113
"323",130577.725846317
"324",106732.672853668
"325",128763.215637953
"326",104894.336960853
"327",156419.879970606
"328",62414.9047692675
"329",111330.279690254
"330",74447.776982344
"331",176719.237032074
"332",171763.253262711
"333",118444.758432666
"334",162904.168557378
"335",140132.945684107
"336",138482.566349923
"337",123480.351768171
"338",119578.825773255
"339",116743.491821585
"340",130188.030087027
"341",122380.40492318
"342",127634.810990871
"343",149967.313620098
"344",145379.751186246
"345",137634.83633868
"346",131211.30334627
"347",137031.723568649
"348",134811.452829653
"349",129890.040923329
"350",131236.028483052
"351",91332.8390417855
"352",107106.30396317
"353",125780.539071572
"354",91622.7454343466
"355",71083.7795552591
"356",113050.26951523
"357",100644.116728697
"358",144425.449153214
"359",117269.716084867
"360",68091.7022778016
"361",96550.578765241
"362",132508.728617644
"363",67187.9459308098
"364",139564.304821776
"365",134325.617241723
"366",108297.465928579
"367",109176.263489657
"368",131904.923101655
"369",110606.338287977
"370",131014.84710503
"371",176130.540837735
"372",92796.5237347035
"373",132873.009388264
"374",118937.837113817
"375",120073.445352135
"376",120830.889956548
"377",96228.7650004139
"378",118403.236890828
"379",98799.551712257
"380",145174.321396396
"381",138272.609874017
"382",78715.1702060126
"383",134430.765741206
"384",149841.825736447
"385",141362.229170128
"386",147269.951098027
"387",193751.117448521
"388",65916.367074827
"389",133827.319131165
"390",109352.997899964
"391",147050.158693021
"392",113677.7414555
"393",120576.813662924
"394",170072.058758076
"395",185144.298257524
"396",203459.551247066
"397",155987.807549488
"398",168393.963388156
"399",156010.552639225
"400",135637.655673931
"401",154743.817033813
"402",273720.579149178
"403",248625.8738588
"404",248766.617085881
"405",303630.48992576
"406",305333.074240028
"407",211459.823704956
"408",278335.902486487
"409",188299.764220169
"410",210473.473495391
"411",247557.117895177
"412",175384.620908929
"413",213928.273452917
"414",159744.737416293
"415",199124.843237457
"416",182000.779504412
"417",210638.103496288
"418",212725.732290201
"419",139543.965656824
"420",139462.785939641
"421",223000.93059055
"422",247826.646937649
"423",196023.881025099
"424",210047.497120134
"425",242500.653096736
"426",295122.379723758
"427",204315.964522473
"428",254440.356734207
"429",173929.274717484
"430",114708.991455285
"431",137979.880146446
"432",93869.0732027966
"433",129680.116930385
"434",133317.742009636
"435",135284.092881006
"436",115070.639527122
"437",114253.812299922
"438",119129.590696799
"439",164973.071603818
"440",166519.668247464
"441",161871.002221953
"442",155993.911078615
"443",220990.231968003
"444",143829.477618369
"445",202859.926330354
"446",164756.302112414
"447",213513.49704343
"448",122233.811937776
"449",137222.041750905
"450",130153.998739063
"451",230888.29331306
"452",393354.464516847
"453",117061.318426515
"454",84184.1664756096
"455",276296.613701412
"456",69299.8017063937
"457",224193.066565791
"458",136524.685812891
"459",173739.196550351
"460",155569.936874467
"461",360302.881756864
"462",313526.051988135
"463",251744.483268251
"464",223257.30200938
"465",220359.441659829
"466",350841.36298102
"467",139830.027887011
"468",142544.913459354
"469",133067.055064819
"470",144637.10330051
"471",131458.173128445
"472",136109.932702255
"473",167471.921096534
"474",170632.853204001
"475",161617.307995835
"476",189118.965617555
"477",181491.51886035
"478",174135.335039302
"479",273149.847736668
"480",217772.811357825
"481",174956.707637018
"482",187277.938800308
"483",228780.380608877
"484",376687.045971298
"485",390017.017022232
"486",135482.994327821
"487",325116.731838746
"488",176452.055001163
"489",241172.116846304
"490",192060.489843122
"491",242739.324275057
"492",215443.557586344
"493",158482.890657877
"494",209489.73404232
"495",134015.678345734
"496",274982.55810346
"497",150596.936061633
"498",262483.497274973
"499",149649.911203359
"500",122494.324661732
"501",119362.646315162
"502",98770.999076653
"503",105488.638281811
"504",99357.6135689133
"505",141239.216273181
"506",140819.872536244
"507",288758.041897845
"508",451465.963752491
"509",385808.980271601
"510",469862.316968913
"511",477757.322023071
"512",377948.439327878
"513",256303.89450867
"514",334251.34714146
"515",534090.642519015
"516",267201.915439029
"517",382540.406279255
"518",390307.234206657
"519",302770.956593377
"520",221793.747866297
"521",321507.386738536
"522",227881.286083332
"523",218019.29685647
"524",183871.988826345
"525",220846.228434153
"526",210263.273054084
"527",189536.297045332
"528",174890.531438356
"529",192848.14939087
"530",207202.841004002
"531",230801.037207027
"532",203354.567641571
"533",172278.662217958
"534",234866.354324708
"535",182118.130971219
"536",260550.656740707
"537",329097.942724687
"538",295834.071782303
"539",267474.678096224
"540",317327.332419516
"541",228279.977515304
"542",255026.711186455
"543",251112.257070296
"544",253428.529106652
"545",244130.824690523
"546",222427.262526009
"547",247654.574777821
"548",203752.988563727
"549",187652.781947908
"550",194697.24145929
"551",141380.435677479
"552",176084.08765725
"553",169296.799630126
"554",175036.512948488
"555",197598.64600957
"556",177295.048638391
"557",186508.513046882
"558",103798.342577382
"559",130923.532561369
"560",103247.653049396
"561",112598.627530462
"562",175916.348192446
"563",139143.699799074
"564",280441.588900922
"565",367310.46480887
"566",176616.824699537
"567",157455.170777465
"568",175498.436236374
"569",157666.8558771
"570",257650.44086168
"571",237396.319074092
"572",253838.746735696
"573",247226.387318046
"574",168825.85234006
"575",215710.670542562
"576",197661.239182452
"577",200797.785158446
"578",329580.120882382
"579",221209.877014871
"580",316774.999847592
"581",306304.212258047
"582",210577.683946813
"583",171970.29633838
"584",173553.864326386
"585",207504.490454753
"586",146057.532138302
"587",135129.485290943
"588",133556.624856434
"589",150557.07940046
"590",184161.409739594
"591",127360.508150329
"592",126935.567605904
"593",144153.19918315
"594",99932.5246255789
"595",137836.41108565
"596",159314.27772986
"597",108189.594869673
"598",203581.3170008
"599",121593.347013581
"600",173849.922016239
"601",164289.877849435
"602",124958.222688453
"603",122762.279811777
"604",130245.050815288
"605",120635.073267769
"606",172653.747557746
"607",144710.33858589
"608",153356.797559706
"609",108726.116654535
"610",117864.216928083
"611",95407.2626251454
"612",117522.726894597
"613",128502.51878231
"614",153721.848877926
"615",154063.467154454
"616",119565.556343902
"617",139496.293027325
"618",120843.791050007
"619",126520.090238635
"620",123351.407933289
"621",129463.558907753
"622",137736.931071989
"623",140827.015428649
"624",116228.217618502
"625",113316.958182957
"626",147773.354520767
"627",123792.595175842
"628",94639.8277002548
"629",84197.5975929483
"630",126135.074962306
"631",107722.041698234
"632",122143.965887363
"633",105425.579379059
"634",120065.72853275
"635",139202.66993845
"636",97069.9333951969
"637",107908.985698065
"638",130497.592893237
"639",70959.3735703223
"640",101425.772308543
"641",106819.474829459
"642",130824.969737554
"643",104514.702680466
"644",146716.943176916
"645",133480.486162133
"646",60098.8701076527
"647",174849.820952207
"648",111396.305817409
"649",114381.537158276
"650",131756.725235586
"651",175327.575988461
"652",132561.118865197
"653",124561.237284424
"654",127044.369490828
"655",159435.182174879
"656",112687.247657867
"657",144671.307565282
"658",126901.711670309
"659",120872.237591275
"660",108620.425611251
"661",107338.844798043
"662",109438.791313474
"663",114321.387120192
"664",170354.574389683
"665",115413.806073073
"666",133673.086629533
"667",157748.930409561
"668",131603.175168406
"669",106784.763806732
"670",136904.129845149
"671",119265.717682459
"672",105978.056922535
"673",113031.491418619
"674",110619.371795687
"675",110400.011333707
"676",72290.4589090359
"677",116497.189698812
"678",137029.350557553
"679",145436.188396149
"680",141967.782802056
"681",174967.655755795
"682",125715.322803636
"683",136860.858495671
"684",106838.89200864
"685",136937.997120848
"686",175207.140009239
"687",138420.05859518
"688",136453.703988737
"689",149473.091192176
"690",227414.938167386
"691",108959.131657472
"692",131419.824128998
"693",162415.840412335
"694",114145.563449528
"695",144930.824882601
"696",254450.38526831
"697",207743.4389332
"698",229826.343271434
"699",217434.412576494
"700",184094.243744398
"701",221042.679060251
"702",420266.781726799
"703",282130.987131081
"704",227572.828522603
"705",184330.255126284
"706",158964.537093686
"707",208894.939928402
"708",186732.428451557
"709",199759.555083036
"710",216467.997807793
"711",161411.44773956
"712",137713.79096796
"713",191020.129497475
"714",228890.158667533
"715",269826.1314468
"716",299607.352180993
"717",237616.451336565
"718",217805.286823396
"719",145059.893944207
"720",226229.276805854
"721",198870.069650293
"722",220150.769705502
"723",191666.349999425
"724",121282.407248041
"725",133209.051078122
"726",133245.104016227
"727",135765.871167628
"728",140348.261959658
"729",454050.800691666
"730",104708.071283637
"731",106374.899110464
"732",91559.2427442974
"733",118711.480840935
"734",129063.306347664
"735",101610.157533782
"736",120985.284383688
"737",100921.336591195
"738",164192.872092632
"739",170383.510211882
"740",152148.365559459
"741",146917.801371255
"742",209480.442949072
"743",130339.513468256
"744",183064.444379121
"745",125368.275021241
"746",145071.161478221
"747",201964.682897816
"748",270533.801839041
"749",208285.633625857
"750",128709.20879423
"751",117095.767190953
"752",121303.842078922
"753",112692.876673373
"754",122467.332284919
"755",105482.361544893
"756",137459.728478868
"757",67402.6551711879
"758",89841.3167922087
"759",74857.5013257099
"760",79800.4924749566
"761",276296.613701412
"762",273013.663904621
"763",269130.174396918
"764",188349.362263489
"765",150684.83630611
"766",158384.172338029
"767",191437.271488546
"768",269429.666396532
"769",240097.13598715
"770",161041.06187664
"771",203624.551138562
"772",177980.166279882
"773",186969.399916597
"774",241949.939359714
"775",220656.133929711
"776",249325.846577646
"777",295261.062004129
"778",186383.193649607
"779",130347.433621855
"780",149644.54253171
"781",134047.201400949
"782",115393.547936417
"783",126243.885261217
"784",95949.40403672
"785",94448.0772452259
"786",147552.861826882
"787",117444.240247321
"788",124759.086560419
"789",122607.421525367
"790",132281.824935055
"791",113282.629473373
"792",173038.481955839
"793",161033.714967379
"794",179902.188318239
"795",182093.053826869
"796",183648.398701677
"797",196004.675931556
"798",169668.737543563
"799",164590.108507898
"800",157396.475590211
"801",213686.536834795
"802",231786.217049221
"803",379337.027399856
"804",504784.520844599
"805",196877.659521993
"806",332695.956482591
"807",403164.456593034
"808",448703.817694756
"809",153368.464090737
"810",192809.155103097
"811",211765.35491936
"812",175131.086891622
"813",166446.768107484
"814",159459.8916721
"815",139675.74276978
"816",183800.722349408
"817",167239.446641524
"818",152502.229361088
"819",126273.910227111
"820",128192.401598165
"821",153815.321746522
"822",176583.597506816
"823",109841.570701142
"824",112518.007753444
"825",149343.973654499
"826",125035.906111579
"827",358728.42814594
"828",283878.43687185
"829",353935.673872095
"830",450492.733784806
"831",347866.662399246
"832",450418.362323091
"833",473329.999371612
"834",432195.088969286
"835",447097.089221273
"836",302960.877018018
"837",320436.848037451
"838",338866.554421702
"839",368276.216212273
"840",341758.042540854
"841",294620.909231458
"842",251850.689466972
"843",257561.943892697
"844",259835.090772296
"845",183637.52918798
"846",185277.179002852
"847",197152.361488967
"848",227540.010256074
"849",290880.753853926
"850",216813.640405129
"851",199845.820104654
"852",182293.131137083
"853",173430.232699257
"854",183132.484091365
"855",173592.774893273
"856",185688.922354883
"857",185222.92849489
"858",172324.007933564
"859",181808.579775604
"860",190405.127200702
"861",236809.642410485
"862",178034.986230147
"863",210512.729155225
"864",190424.377822135
"865",202997.558985164
"866",190734.199932836
"867",203769.22901834
"868",214909.46644716
"869",180209.9294434
"870",173385.998413884
"871",322456.940436411
"872",428984.46123078
"873",312800.802961644
"874",257131.726191192
"875",295020.060198981
"876",301377.539996557
"877",211604.242912177
"878",247583.736541223
"879",242607.793293428
"880",374422.736774859
"881",210839.304677346
"882",241586.202459258
"883",221453.572750681
"884",234154.760179177
"885",245640.577055151
"886",220002.985280102
"887",205087.326426184
"888",239964.041315884
"889",184790.224241554
"890",290849.783184195
"891",249501.516475792
"892",252040.345002979
"893",247077.603652899
"894",147899.147018906
"895",167583.561780875
"896",134131.236775324
"897",186333.282771693
"898",187738.019596675
"899",134919.219102063
"900",118615.405528431
"901",136374.034516081
"902",283568.699820223
"903",117668.380900847
"904",145352.653176585
"905",211366.011491287
"906",186076.670663243
"907",213741.970401794
"908",206847.948719507
"909",220458.059726659
"910",156027.63307694
"911",163347.291459724
"912",197212.995141969
"913",294018.663196133
"914",334140.47231883
"915",251759.367152243
"916",308228.85745734
"917",353486.713021068
"918",141552.160823128
"919",197498.630874789
"920",140445.22803707
"921",161319.631357182
"922",216436.553839877
"923",194759.174913622
"924",225874.869438989
"925",152617.818501049
"926",134929.683310825
"927",134607.051445232
"928",127600.523075556
"929",121875.542029336
"930",135607.016539682
"931",130928.079351687
"932",123783.453640544
"933",157017.384147068
"934",139147.737131972
"935",192635.99323717
"936",151493.521801474
"937",221817.51841015
"938",131464.938204852
"939",70757.135637588
"940",70466.822135527
"941",124777.60601498
"942",135913.725053933
"943",140088.793086531
"944",144734.687272253
"945",145984.083909371
"946",142929.957433405
"947",112951.438776861
"948",139565.468234686
"949",120873.606082303
"950",165891.528374953
"951",115939.854905136
"952",148201.338268124
"953",125049.140027755
"954",166941.610044572
"955",134569.856401588
"956",131421.216857691
"957",142072.824996511
"958",138730.315606034
"959",102590.503613688
"960",114952.139505053
"961",155799.997423556
"962",110158.504274972
"963",108563.385837826
"964",133406.823189194
"965",207055.423508647
"966",119413.007041979
"967",134447.337195126
"968",174748.328927816
"969",125053.056114957
"970",139603.60856527
"971",109992.124914949
"972",133743.967001566
"973",136753.957272044
"974",127427.275654171
"975",136760.529854269
"976",115936.520859407
"977",105824.571434002
"978",114180.50208202
"979",104343.047522199
"980",118316.465935851
"981",83780.5796318999
"982",91171.559795742
"983",125743.416338918
"984",115043.11342305
"985",92015.1735473858
"986",118896.801910716
"987",187896.952103198
"988",138992.360948848
"989",102002.897650837
"990",145890.300932472
"991",113185.326763196
"992",183392.31413787
"993",113483.200560069
"994",143891.797970839
"995",126691.414208457
"996",141466.460585889
"997",127273.378935362
"998",129018.030420861
"999",118375.567753605
"1000",126609.59288132
"1001",138199.939202353
"1002",129404.583353241
"1003",121976.483838924
"1004",165830.282165953
"1005",139260.494146901
"1006",114124.191987997
"1007",123648.440799212
"1008",88817.8104771276
"1009",83698.2612969656
"1010",191884.186490357
"1011",210909.172921086
"1012",138115.304500919
"1013",106783.93945342
"1014",66024.605353099
"1015",204169.003846153
"1016",121824.65053875
"1017",128693.979592463
"1018",146989.649093523
"1019",102749.011688111
"1020",165111.862502639
"1021",122668.426618313
"1022",122135.733747117
"1023",119048.266822193
"1024",119206.399155072
"1025",127342.315782806
"1026",139610.587190803
"1027",166191.645685584
"1028",162081.745238932
"1029",148636.286126768
"1030",138196.594801116
"1031",109505.128951743
"1032",196793.880331977
"1033",150823.064190143
"1034",149830.792152255
"1035",109992.975089714
"1036",270849.688072151
"1037",145658.784509392
"1038",112545.945372718
"1039",106512.78267962
"1040",118727.504183957
"1041",124729.271024155
"1042",134986.236769421
"1043",83207.3254593546
"1044",191171.382064127
"1045",207044.315061894
"1046",223113.907131112
"1047",262669.918922968
"1048",226093.694041489
"1049",210486.860052815
"1050",212536.40897698
"1051",179397.953725724
"1052",215582.345731318
"1053",206878.436524514
"1054",304589.849209631
"1055",149699.452861851
"1056",174255.548216531
"1057",153652.369812616
"1058",157052.307244548
"1059",225271.667181699
"1060",205811.764028865
"1061",195939.591650469
"1062",211949.487728398
"1063",132462.575968122
"1064",132367.67479566
"1065",147847.906544037
"1066",134190.783999084
"1067",131088.618830523
"1068",134435.428905223
"1069",135207.493794499
"1070",136853.301295634
"1071",243948.68627032
"1072",216377.557266273
"1073",194831.025255089
"1074",242783.41853463
"1075",295319.905958835
"1076",242741.454157311
"1077",238822.827510424
"1078",184829.419763353
"1079",185462.061563504
"1080",173912.087924354
"1081",185409.647893396
"1082",166894.313285871
"1083",122443.767901462
"1084",112857.513092918
"1085",120690.940888028
"1086",125323.903519995
"1087",125698.878136233
"1088",174492.299475504
"1089",135177.536219676
"1090",1119619.50295792
"1091",140508.583378983
"1092",107359.158096831
"1093",86134.8252181939
"1094",113177.791247301
"1095",116299.776807426
"1096",92191.9804157236
"1097",95667.2411478127
"1098",181060.739541625
"1099",137031.386695873
"1100",143849.923238931
"1101",151361.604158883
"1102",149681.445675437
"1103",158324.238466595
"1104",185724.741585648
"1105",164107.999023343
"1106",147655.668726454
"1107",136413.8867459
"1108",200310.933512057
"1109",211950.676404173
"1110",128235.913503019
"1111",193204.507057367
"1112",174759.307831841
"1113",226090.095374342
"1114",434251.735564984
"1115",125439.721291191
"1116",114533.674786414
"1117",131941.894693555
"1118",84007.5804654604
"1119",73351.8594244261
"1120",110064.618269272
"1121",108519.555487688
"1122",126171.430600635
"1123",277600.886148109
"1124",170103.880289367
"1125",159820.892786305
"1126",207510.558697596
"1127",181582.129419807
"1128",143438.25617909
"1129",141469.409432278
"1130",190144.086059977
"1131",289304.338167065
"1132",211516.202443636
"1133",233210.497866233
"1134",195759.247697178
"1135",212789.072394638
"1136",266851.399868609
"1137",185807.708648567
"1138",280023.73980452
"1139",328710.281109931
"1140",182100.700293468
"1141",144744.956256939
"1142",78476.2432599618
"1143",82958.8887873248
"1144",87304.855659941
"1145",76432.1661635662
"1146",129918.083066776
"1147",184866.933058082
"1148",203719.568525778
"1149",157858.665405996
"1150",123726.302104972
"1151",137118.940607952
"1152",149526.566086076
"1153",137378.965374601
"1154",128554.14910767
"1155",144783.964746144
"1156",152529.253755024
"1157",164490.146991546
"1158",210225.794146375
"1159",196282.821177077
"1160",164956.872650589
"1161",176189.815114066
"1162",175441.543919545
"1163",244497.92359109
"1164",256139.803747212
"1165",344107.488739103
"1166",172208.638172897
"1167",183205.345997336
"1168",480686.830870663
"1169",553802.770224334
"1170",384628.667026246
"1171",478200.29952874
"1172",420810.466858266
"1173",336523.206000058
"1174",432026.128570155
"1175",155273.816272224
"1176",168487.4833971
"1177",179103.260337535
"1178",256003.455604613
"1179",184567.832396271
"1180",147285.220596266
"1181",102487.710570954
"1182",179305.79097547
"1183",105245.110409227
"1184",113945.706081616
"1185",111269.932413455
"1186",96611.6840652432
"1187",100813.100458873
"1188",143751.593431435
"1189",154405.197846477
"1190",144821.521307453
"1191",129786.096168019
"1192",432594.879942325
"1193",263262.288448149
"1194",265925.133837715
"1195",393999.122754316
"1196",320747.314184858
"1197",345855.962801256
"1198",320967.238279977
"1199",328948.971446126
"1200",349628.417623937
"1201",346273.542906818
"1202",364063.627450936
"1203",287855.80695519
"1204",274474.647691176
"1205",312392.794162284
"1206",274580.247726573
"1207",169706.458344184
"1208",184234.088092334
"1209",179304.406845368
"1210",256590.706754756
"1211",186557.155698247
"1212",184706.344723092
"1213",195746.399319052
"1214",201933.627113368
"1215",177017.386849197
"1216",190945.24392586
"1217",189830.738387204
"1218",241367.21042846
"1219",257251.072292266
"1220",277175.038248237
"1221",395094.677193953
"1222",306803.021169647
"1223",585066.306969799
"1224",307080.450849763
"1225",342059.215368717
"1226",253308.272208719
"1227",293364.529319396
"1228",226253.146069614
"1229",215291.982745235
"1230",412526.081539441
"1231",198804.560829639
"1232",152401.966868916
"1233",188611.691050402
"1234",138877.64070773
"1235",187153.241103629
"1236",181945.276476054
"1237",170997.258572276
"1238",191103.753175811
"1239",167825.89531459
"1240",153950.971069184
"1241",131148.364380626
"1242",94002.6779213868
"1243",155562.176842204
"1244",138314.622632166
"1245",128547.750821159
"1246",105452.279894732
"1247",103037.919563615
"1248",135659.721202913
"1249",122676.388284863
"1250",128546.185392802
"1251",326107.633658217
"1252",375247.732965642
"1253",171980.665373559
"1254",157154.677267122
"1255",167865.426552807
"1256",165529.120900088
"1257",216921.097145348
"1258",226265.728513786
"1259",146216.12730002
"1260",172520.267671222
"1261",120462.060436115
"1262",155900.357540804
"1263",142506.948086757
"1264",129637.385076117
"1265",126036.932030578
"1266",145237.440140955
"1267",182177.387728446
"1268",169424.734284029
"1269",137221.590418176
"1270",146672.94500923
"1271",129598.653616998
"1272",126825.85447443
"1273",151499.247219841
"1274",144228.804416779
"1275",128663.827258686
"1276",143076.079740683
"1277",121661.424972945
"1278",141168.760950044
"1279",148371.502473158
"1280",140716.313437965
"1281",128132.575076563
"1282",141518.031149419
"1283",150348.46107373
"1284",147760.296852952
"1285",152777.03701236
"1286",128710.471991619
"1287",169235.47627112
"1288",141276.951073878
"1289",130031.382899386
"1290",135754.235785325
"1291",133864.468267798
"1292",186796.467847514
"1293",140988.031237686
"1294",165106.860453117
"1295",131748.735449615
"1296",99574.9590110022
"1297",75144.3755302323
"1298",81877.5676385847
"1299",139173.911926577
"1300",103081.528364737
"1301",136764.551235532
"1302",139385.179615966
"1303",185536.152458136
"1304",181129.38924241
"1305",288470.991718266
"1306",133654.085423303
"1307",98037.6036837162
"1308",136120.870650437
"1309",121606.620378077
"1310",136996.46725099
"1311",109890.400932267
"1312",111857.051555072
"1313",145751.336779074
"1314",139840.797764706
"1315",101541.478963351
"1316",137133.835071199
"1317",128005.299479789
"1318",123371.526333772
"1319",107711.799385326
"1320",108579.040759089
"1321",101415.009329463
"1322",99964.9691027866
"1323",93379.1502851182
"1324",119557.140295938
"1325",123161.456207069
"1326",74338.2134059204
"1327",136478.337013801
"1328",68473.6360905116
"1329",147039.294935415
"1330",108259.861001132
"1331",112111.797488865
"1332",56560.4924241178
"1333",162626.165501693
"1334",96256.1094346244
"1335",126023.280639365
"1336",105275.179236981
"1337",206480.633385114
"1338",97803.8189689686
"1339",101209.273078125
"1340",87112.0509426369
"1341",109005.901720496
"1342",127804.582340478
"1343",163179.446304176
"1344",165341.399623456
"1345",114422.739992606
"1346",92388.7263530348
"1347",169868.374859381
"1348",135702.139341853
"1349",142168.544893403
"1350",131911.933793948
"1351",148240.385352397
"1352",159127.195887129
"1353",160644.768029166
"1354",157294.351567372
"1355",98725.5230399284
"1356",213098.533369065
